n_agents,n_families,panel,n,base_rate,auc_pr,lift,auroc,mean_disagreement
4,3,llama-3.1-8b-instruct+llama-4-maverick+gpt-5.6-sol+qwen3.6-plus,788,0.376,0.487,1.3,0.632,0.312
4,3,llama-3.3-70b-instruct+llama-4-maverick+gpt-5.6-sol+qwen3.6-27b,787,0.376,0.488,1.3,0.629,0.297
4,3,llama-3.3-70b-instruct+gpt-oss-120b+qwen3.6-27b+qwen3.6-plus,789,0.375,0.488,1.3,0.632,0.329
4,3,llama-3.3-70b-instruct+gpt-5.6-sol+qwen3.6-27b+qwen3.6-35b-a3b,790,0.375,0.488,1.3,0.634,0.316
4,3,llama-3.3-70b-instruct+gpt-5.6-sol+qwen3.6-35b-a3b+qwen3.6-plus,790,0.375,0.488,1.3,0.641,0.316
4,3,llama-4-maverick+gpt-oss-20b+qwen3.6-27b+qwen3.6-plus,789,0.374,0.485,1.3,0.632,0.345
4,3,llama-4-maverick+gpt-oss-120b+gpt-5.6-sol+qwen3.6-27b,789,0.375,0.488,1.3,0.627,0.335
4,3,llama-4-maverick+gpt-oss-120b+gpt-5.6-sol+qwen3.6-plus,789,0.375,0.488,1.3,0.64,0.329
4,2,gpt-oss-120b+gpt-5.6-sol+qwen3.6-35b-a3b+qwen3.6-plus,789,0.375,0.486,1.3,0.63,0.339
4,2,gpt-5.6-sol+qwen3.6-27b+qwen3.6-35b-a3b+qwen3.6-plus,788,0.374,0.488,1.3,0.641,0.294
4,2,llama-3.1-8b-instruct+llama-4-maverick+qwen3.6-27b+qwen3.6-plus,790,0.375,0.485,1.29,0.626,0.322
4,3,llama-3.3-70b-instruct+gpt-oss-120b+gpt-5.6-sol+qwen3.6-plus,789,0.375,0.484,1.29,0.633,0.325
4,2,llama-3.3-70b-instruct+qwen3.6-27b+qwen3.6-35b-a3b+qwen3.6-plus,788,0.374,0.483,1.29,0.636,0.302
4,3,llama-4-maverick+gpt-oss-120b+qwen3.6-27b+qwen3.6-35b-a3b,788,0.376,0.483,1.29,0.626,0.334
4,3,llama-3.1-8b-instruct+llama-3.3-70b-instruct+gpt-5.6-sol+qwen3.6-plus,788,0.376,0.483,1.28,0.619,0.302
4,2,llama-3.1-8b-instruct+llama-4-maverick+qwen3.6-35b-a3b+qwen3.6-plus,790,0.375,0.48,1.28,0.627,0.326
4,3,llama-3.3-70b-instruct+llama-4-maverick+gpt-5.6-sol+qwen3.6-35b-a3b,786,0.377,0.484,1.28,0.627,0.297
4,3,llama-3.3-70b-instruct+gpt-oss-120b+gpt-5.6-sol+qwen3.6-27b,789,0.375,0.479,1.28,0.619,0.328
4,3,llama-3.3-70b-instruct+gpt-oss-120b+qwen3.6-35b-a3b+qwen3.6-plus,789,0.375,0.48,1.28,0.63,0.337
4,3,llama-4-maverick+gpt-oss-20b+gpt-5.6-sol+qwen3.6-plus,789,0.375,0.479,1.28,0.631,0.343
4,3,llama-4-maverick+gpt-oss-20b+qwen3.6-35b-a3b+qwen3.6-plus,789,0.374,0.477,1.28,0.631,0.35
4,2,gpt-oss-20b+gpt-oss-120b+gpt-5.6-sol+qwen3.6-plus,790,0.375,0.479,1.28,0.62,0.354
4,2,gpt-oss-20b+gpt-5.6-sol+qwen3.6-35b-a3b+qwen3.6-plus,789,0.374,0.478,1.28,0.629,0.356
4,2,gpt-oss-120b+qwen3.6-27b+qwen3.6-35b-a3b+qwen3.6-plus,787,0.375,0.479,1.28,0.632,0.322
4,3,llama-3.1-8b-instruct+llama-4-maverick+gpt-5.6-sol+qwen3.6-27b,788,0.376,0.477,1.27,0.613,0.318
4,2,llama-3.3-70b-instruct+llama-4-maverick+qwen3.6-27b+qwen3.6-35b-a3b,790,0.375,0.477,1.27,0.632,0.302
4,3,llama-3.3-70b-instruct+gpt-oss-20b+gpt-5.6-sol+qwen3.6-plus,788,0.376,0.478,1.27,0.618,0.338
4,3,llama-3.3-70b-instruct+gpt-oss-20b+qwen3.6-27b+qwen3.6-plus,789,0.374,0.473,1.27,0.613,0.339
4,3,llama-3.3-70b-instruct+gpt-oss-20b+qwen3.6-35b-a3b+qwen3.6-plus,789,0.374,0.474,1.27,0.622,0.348
4,3,llama-4-maverick+gpt-oss-20b+gpt-5.6-sol+qwen3.6-27b,789,0.375,0.476,1.27,0.616,0.349
4,3,llama-4-maverick+gpt-oss-120b+gpt-5.6-sol+qwen3.6-35b-a3b,788,0.376,0.477,1.27,0.619,0.333
4,3,llama-3.1-8b-instruct+gpt-oss-120b+gpt-5.6-sol+qwen3.6-plus,790,0.375,0.472,1.26,0.614,0.341
4,3,llama-3.1-8b-instruct+gpt-5.6-sol+qwen3.6-27b+qwen3.6-35b-a3b,790,0.375,0.472,1.26,0.614,0.336
4,3,llama-3.1-8b-instruct+gpt-5.6-sol+qwen3.6-35b-a3b+qwen3.6-plus,790,0.375,0.471,1.26,0.618,0.335
4,3,llama-3.3-70b-instruct+gpt-oss-120b+qwen3.6-27b+qwen3.6-35b-a3b,788,0.376,0.472,1.26,0.617,0.33
4,2,gpt-oss-20b+gpt-5.6-sol+qwen3.6-27b+qwen3.6-35b-a3b,789,0.374,0.472,1.26,0.623,0.358
4,3,llama-3.1-8b-instruct+llama-3.3-70b-instruct+gpt-5.6-sol+qwen3.6-27b,788,0.376,0.468,1.25,0.6,0.305
4,3,llama-3.1-8b-instruct+llama-4-maverick+gpt-5.6-sol+qwen3.6-35b-a3b,787,0.376,0.469,1.25,0.613,0.313
4,3,llama-3.1-8b-instruct+gpt-oss-120b+gpt-5.6-sol+qwen3.6-27b,790,0.375,0.469,1.25,0.607,0.345
4,3,llama-3.3-70b-instruct+gpt-oss-20b+gpt-5.6-sol+qwen3.6-27b,788,0.376,0.47,1.25,0.602,0.341
4,2,gpt-oss-20b+gpt-oss-120b+gpt-5.6-sol+qwen3.6-27b,790,0.375,0.47,1.25,0.609,0.361
4,2,gpt-oss-20b+gpt-oss-120b+qwen3.6-27b+qwen3.6-plus,788,0.374,0.467,1.25,0.613,0.351
